16	personal	0	entertainment	1	1
38	personal	0	business	1	1
42	personal	0	business	1	1
8	personal	0	unclassified
105	personal	0	business	0.931139	0.931139
28	personal	0	business	0.712264	0.712264
18	personal	0	business	0.655692	0.655692
8	personal	0	business	0.716075	0.716075
6	personal	0	entertainment	1	1
53	personal	0	business	0.743147	0.743147
25	personal	0	business	0.757262	0.757262
23	personal	0	business	1	1
42	personal	0	business	1	1
2	personal	0	business	1	1
41	personal	0	business	1	1
7	personal	0	business	1	1
19	personal	0	business	0.793286	0.793286
12	personal	0	business	1	1
10	personal	0	business	1	1
3	personal	0	business	0.758265	0.758265
83	personal	0	business	1	1
1	personal	0	business	1	1
1	personal	0	business	1	1
0	personal	0	business	1	1
23	personal	0	business	1	1
39	personal	0	business	1	1
11	personal	0	business	1	1
33	personal	0	business	1	1
0	personal	0	business	1	1
2	personal	0	business	1	1
2	personal	0	business	1	1
10	personal	0	business	1	1
0	personal	0	business	1	1
0	personal	0	business	1	1
1	personal	0	business	1	1
0	personal	0	business	1	1
20	personal	0	business	1	1
19	personal	0	business	1	1
40	personal	0	business	0.754202	0.754202
26	personal	0	business	0.846328	0.846328
16	personal	0	business	1	1
12	personal	0.0888891	business	0.577778	0.488889
18	personal	0	business	1	1
8	personal	0	business	1	1
0	personal	0	business	1	1
22	personal	0	business	1	1
2	personal	0	business	1	1
20	personal	0	business	1	1
17	personal	0	business	0.64778	0.64778
26	personal	0	business	1	1
243	personal	0.0416849	business	0.609205	0.56752
7	personal	0	business	1	1
14	personal	0	business	1	1
17	personal	0	business	1	1
0	personal	0	business	1	1
5	personal	0	business	1	1
16	personal	0	business	1	1
1	personal	0	business	1	1
5	personal	0	business	1	1
6	personal	0	business	0.648579	0.648579
46	personal	0	business	0.82158	0.82158
1	personal	0	business	1	1
0	personal	0	business	1	1
7	personal	0	business	1	1
36	personal	0	business	1	1
13	personal	0	business	0.753685	0.753685
0	personal	0	business	1	1
8	personal	0	business	1	1
4	personal	0	business	1	1
0	personal	0	business	1	1
20	personal	0	business	1	1
16	personal	0	business	1	1
2	personal	0	business	1	1
38	personal	0	business	0.811897	0.811897
7	personal	0	business	1	1
2	personal	0	business	1	1
2	personal	0	business	1	1
37	personal	0	business	1	1
0	personal	0	business	1	1
9	personal	0	business	0.605802	0.605802
25	personal	0	business	1	1
10	personal	0	business	1	1
11	personal	0	business	1	1
28	personal	0	business	0.603449	0.603449
7	personal	0	business	1	1
23	personal	0	business	0.718292	0.718292
7	personal	0	business	0.732266	0.732266
3	personal	0	business	1	1
9	personal	0	business	1	1
10	personal	0	business	1	1
6	personal	0	business	1	1
15	personal	0	business	1	1
3	personal	0	business	1	1
30	personal	0	business	1	1
40	personal	0	business	0.703165	0.703165
40	personal	0	business	0.777027	0.777027
31	personal	0	business	0.784866	0.784866
0	personal	0	business	1	1
15	personal	0	business	0.681319	0.681319
8	personal	0	business	1	1
6	personal	0	business	0.770138	0.770138
13	personal	0	business	1	1
8	personal	0	business	1	1
139	personal	0	business	0.856789	0.856789
243	personal	0.0416849	business	0.609205	0.56752
414	personal	0.03635	business	0.572132	0.535782
26	personal	0	business	0.86696	0.86696
